Country,Diseases_Count,Gini_Across_Diseases,CV_Across_Diseases,PBR_Range,Mean_PBR,Total_Participants
GRC,15,0.3443241526412097,0.6667377956268061,2.4440148840058393,0.9081005350586016,5880.382146875247
TUR,14,0.3434059774105639,0.6857238167987592,0.7919529259684431,0.29651699815635274,8517.44601087911
POL,16,0.3405241477159656,0.7394965448429646,1.4400216066930212,0.5458491876840674,10519.684801919972
DNK,16,0.3375654670319129,0.6061158015969652,19.890535052257214,8.840735443250313,42414.56580640646
TGO,4,0.3335177249393314,0.6237002225567512,1.891722836590045,1.309992856789967,1977.0
RUS,16,0.3282630665433961,0.5840499750048057,7.724598499185237,3.7188763006648227,13251.46101963029
NOR,16,0.32567053228869935,0.6298397874802535,19.723179747789693,7.770387011464795,34409.03551865207
PAK,16,0.3161559820495419,0.574568347831508,0.2986705663168893,0.1340116477374924,25811.849704772423
BEL,16,0.3064270312977956,0.5662909132204177,3.2812102664212164,1.5980360527184978,9839.138789474835
MKD,5,0.30076451137393345,0.5474919794822113,1.304721808571368,0.78632959966662,727.834316593
DEU,16,0.2984008607713181,0.6026551002573871,3.032537482815351,1.17524571749837,55522.508796529815
KGZ,2,0.2981014234174806,0.5962028468349609,0.533552038623647,0.4474584794890649,216.68661235
CYP,6,0.29088633136982134,0.5617242205145743,1.5850197206270673,0.9158888553385243,1262.40719194
NLD,16,0.2712172371938859,0.48830814951177137,16.846283067174618,9.239821985049431,95261.02630816752
YEM,3,0.25950188146968145,0.5240836691990183,1.1661925014631846,0.9986589991037071,2495.3381210999996
ZAF,16,0.25782530556302474,0.4509389637832462,0.942830078871386,0.6217244806844968,50283.65170160482
SLV,3,0.25417393153990675,0.5084837857696588,0.7831440681967031,0.6846965544438572,680.0
IRN,16,0.2463635060849152,0.435684145791724,9.295083548015196,6.236286313370498,25523.444357600813
GAB,5,0.24571918737579815,0.4656042822552708,1.473262031793501,1.3414579853365407,1196.4333333333334
SYR,3,0.23589992122844197,0.4345555884394527,1.563239395659014,1.472601307196987,1066.0
MDG,7,0.23563430542098857,0.42312498070830695,0.7508194841792943,0.5565911673197442,5085.8
BIH,9,0.229139400246636,0.45842659685798987,0.9206637866208939,0.5809465085336604,1748.1666666666665
CHE,16,0.22249004968284247,0.39551846939917,5.286855704845827,3.7250484637355155,22948.70352140884
OMN,7,0.2215405729533411,0.3965428373221108,1.172294614009308,1.0468464920910256,1955.0
FRO,3,0.19814914527507885,0.385295298724161,1.0376795822930271,1.163746946330057,712.0
BRB,2,0.18714375753196233,0.37428751506392444,0.0009345262559735,0.00124840693098445,0.285062432
MHL,2,0.18459167017403044,0.36918334034806094,0.7592796484475058,1.0283232820468924,642.0
XKX,2,0.1708994732593312,0.3417989465186624,0.6124636960004044,0.895941462427772,370.0
MLT,2,0.13884787572206725,0.2776957514441344,0.020761299486511703,0.03738137760218555,33.64277601
SWZ,3,0.11539371624590962,0.21618207841520828,0.8724763972984568,1.680192389600539,2676.106678196333
GBR,16,0.07562713492807871,0.23517769718076215,16.753415170601254,18.439552058365965,247537.71466952734
FSM,3,0.04864074364992188,0.09823952227161467,0.18720946343517086,0.8552933171625224,1152.0
SOM,2,0.04785088917099123,0.09570177834198251,0.0373124430123451,0.19494122083610674,429.0
GNQ,2,0.04318452283406127,0.08636904566812256,0.10313904825217768,0.5970834079173151,275.45
VIR,2,0.030656519335805488,0.06131303867161139,0.005115119493077296,0.041713146207559046,36.77405666
USA,16,0.0,0.0,0.0,20.0,1139714.316234215
