ISO3,Disease,Participants,DALYs,PBR,log_pbr,income_group,rd_expenditure,total_publications,total_citations,researchers_per_million,doctors_per_10k,hospital_beds,sanitation,uhc_index,gdp_per_capita,hdi,democracy_index,trust_scientists,altruism
PER,Neurological disorders,971.1224733333332,310567.04701461876,0.5442820605611083,-0.6082693001611205,LM,-0.6981916603943965,622.88,16100.88,,14.3462,48266.29250039999,-0.6962755389557354,0.1453600315275267,12528.092016874456,0.0827042545897528,0.7769795288255256,-0.6024318425492058,-0.6380000747326562
PHL,Neurological disorders,477.26188461538464,1000737.7151408668,0.0830121902590057,-2.488647354399714,LM,-0.6155235363528765,608.6,15265.12,115.4890196,8.777199999999999,99546.5422768,0.039412942133762,-0.0910157195568143,7275.56410305801,-0.306190841253341,-0.3525223441096372,0.517254567426349,0.2740014825970179
POL,Neurological disorders,1847.404725,696939.0646768357,0.4613947305806167,-0.7734796806279055,UM,0.3119632071327089,6545.88,171263.2,2251.738904,25.763999999999996,247467.471128,1.4163487598517872,0.6640097377902562,29884.23115253326,0.8156600435067692,0.9036540886772048,0.7762296554479063,-0.7562224988309474
PRI,Neurological disorders,138.62299333333334,63382.288095912074,0.2552237964075238,-1.3655753052157564,UM,-0.2912377446624314,,,293.1154456,,,-0.7259081394261464,0.6146691683891559,41285.88234229262,0.3102202708520987,0.9021775140531676,0.2963640511726688,0.2866681708932631
PRT,Neurological disorders,1793.2462611111114,239304.05165758135,1.3043533883812957,0.2657150967541575,H,0.7576933230784961,4251.6,127431.44,3690.75784,44.1928,36170.0584736,0.7436194726614643,1.0449648317708449,37093.18332037167,0.7200463447835633,1.2093827503069654,0.631508282729977,-1.208001048063703
PSE,Neurological disorders,538.0,43722.56632565062,0.9905312182739464,-0.0095038001061768,LM,-0.4089788881986852,188.88,4298.48,364.2897808,15.2826,5693.440376799999,-0.2543426108629983,0.1499498519369312,5354.912957495792,-0.2261824871403991,-1.214531066732234,-0.0959070380364544,-1.5457794026302485
QAT,Neurological disorders,10.285,18082.726173702653,0.018936084721092,-3.966157979824864,H,-0.1760847243822053,762.52,20507.08,699.6647419999999,27.269,2408.958384,1.369961805366068,0.989886986857988,117119.99710764772,0.7299545000916665,-2.037060846775289,0.2392371935208548,1.371781134938292
ROU,Neurological disorders,593.4900533333333,349245.2648346285,0.2957932823145699,-1.218060632368862,LM,-0.2801164056690808,1687.2,36692.92,931.5613616,26.8992,142187.626808,0.4608248454821719,0.3771459622024635,27423.4610312035,0.4874523989258137,0.3750403732716061,0.1897272502226155,-1.414890290235712
RUS,Neurological disorders,4319.8694187500005,2486542.060808949,0.3023988934665458,-1.19597522549762,LM,0.5238738769881611,6103.04,95354.44,3038.264508,45.41480000000001,1224673.333888,0.0957556262539488,0.6043420724679949,32776.237809188046,0.5134613066095881,-1.1015342507663797,-0.0844816665060912,-1.31777901329783
RWA,Neurological disorders,356.0,108216.52289247792,0.5726138007691889,-0.5575263210464676,L,0.0225057788146977,175.0,3518.68,35.758095000000004,0.71254,7801.1199232,-1.2878847399390634,-1.288958846411436,2101.280425014305,-1.447114924981552,-1.4361726892457254,-1.16608350471377,-1.7315574976418489
SAU,Neurological disorders,335.64572,330625.38145777583,0.1767055994303197,-1.7332136215479084,UM,-0.3195537416096209,4051.96,88253.56,589.8781,22.165199999999995,63306.122842,1.087822954732511,0.8820262072369784,58198.93178177366,0.5981760344938795,-2.148347944755415,0.0678566205654127,-0.2326660492528014
SEN,Neurological disorders,47.09785,145519.71667365776,0.0563358213002892,-2.8762471974077375,L,-0.2795214348056261,181.24,3415.92,435.4852584,1.1557000000000002,10467.9669544,-1.1288642282346195,-1.5046804056534564,3670.3894565647,-1.5296003179215203,0.447470244303365,-0.6405164143170818,-0.5408887977947744
SGP,Neurological disorders,347.1169411764706,51103.410325869874,0.6390895290465711,-0.4476950792271722,H,1.8002535864272085,3571.44,149622.84,6402.609976000002,20.4104,12778.507642,1.640414410801008,1.2813405828551865,102904.17860234065,1.2278393043239095,-0.6695973160083207,0.943801771226561,-0.0975547074261829
SLV,Neurological disorders,175.3537,74782.71322181402,0.3228500261893013,-1.13053640513617,LM,-0.7051789776985711,44.48,1186.48,64.6676792,18.7678,6746.7366368,-0.4238102430226781,0.624996264310316,9273.01392438114,-0.4461435349803141,-0.0618702865358437,-0.5262626990134538,-0.9884451175954476
SRB,Neurological disorders,155.4801857142857,155731.80834026725,0.1737813283332811,-1.749899961910686,UM,0.078537672786454,1172.16,24938.56,1709.916424,29.2386,39829.6700988,-0.9026283560717088,-0.0611818868956836,18124.0177351574,0.3217385013977691,-0.2903507809922484,0.1668765071618901,-1.6893352033210305
SVK,Neurological disorders,96.64865833333332,91003.19627998126,0.1779433332406302,-1.726233935868798,UM,0.0790428851144737,711.76,20155.96,2604.693996,33.9888,34136.6889316,1.0561154061859035,0.8017043500723969,30335.36358264918,0.7200463447835627,1.0267537836496354,1.1646922874802412,-0.9588895115708752
SVN,Neurological disorders,107.02103636363636,39625.24659864613,0.1970402928070874,-1.6242962893889807,H,1.5688212044735264,826.24,27272.8,3843.0390280000006,27.227199999999996,9423.0723276,0.4858611588299455,0.9302193215357276,39279.976435910976,1.0529603631358675,0.9916268504883106,0.905717199458686,0.160001287930808
SWE,Neurological disorders,9072.273260869566,229869.7580323986,6.869730067235251,1.927126269599284,H,3.5012809270090774,10995.76,518697.44,6472.473894,38.8488,24547.856226400003,1.473524592750634,0.8613720153946574,57211.250518340894,1.2753984498028084,1.3132092607130048,1.522687262098276,0.4513351187444545
SYR,Neurological disorders,54.0,185777.22826178023,0.0505948915328631,-2.9837070367510767,LM,-0.8144638413850175,151.84,2188.76,96.7019363996,14.2816,29217.336314799995,-0.2543426108629983,0.2853495540143702,6713.927078335845,-0.7689016941418123,-1.6607674610072929,-0.0959070380364544,0.0797789287212536
THA,Neurological disorders,906.9125647058823,1009523.6526169772,0.1563703141046487,-1.855464327689189,LM,-0.0890658759016732,2742.76,67800.16,897.2197834,4.1786,146109.074908,-1.0712678786124514,0.67777919901847,17420.47860657954,0.1337312544264902,-0.8848663533022793,0.6924435975585773,0.886224750248882
TUN,Neurological disorders,191.9382,148036.8457552356,0.2256820318294929,-1.4885839000375374,LM,0.0009232107428812,844.36,14196.08,1474.0663639999998,11.498,20373.418867999997,0.4116063108887263,0.2968241050378812,11883.999462028434,-0.0837527545863996,-0.5494507702839665,-0.5719641851349045,-0.8322226286084204
TUR,Neurological disorders,2574.3919315789476,1162125.9934408492,0.3855909558356905,-0.9529522374218204,UM,0.2945397931399904,9173.76,161346.6,1180.9438388,17.195600000000002,205899.00472800003,0.2173835384083884,0.4092747050682964,24132.177663504997,0.2788857296902191,-0.4148493361348195,-1.417441678381752,-1.495112649445267
TWN,Neurological disorders,85842.95762380952,327764.68278745335,20.0,2.995732773553866,H,0.164071915090892,7309.68,202897.52,,,,0.9879854174359308,0.9554633337874534,49027.62762815805,1.1454777633252913,0.9052083777551394,0.1744934215154649,-0.1271103134507558
TZA,Neurological disorders,1855.725275,477723.0350282298,0.6761497449355895,-0.391325921779449,L,-0.3009049953817357,574.24,14129.28,27.44056920000001,0.5366,34089.553026400004,-1.2874065621011082,-1.598771724046252,2943.8138350321356,-1.3787486533556326,-0.5241158583136302,0.7305281693264534,0.0628900109929266
UGA,Neurological disorders,404.75,304080.0389564469,0.2316884230495494,-1.4623186535680488,L,-0.5072401214689258,836.28,21372.24,30.2253728,1.1968,14749.42476,-1.2844238342586884,-1.3876399852136367,2351.4495322320777,-1.2984925953599873,-1.0811730638454349,-2.148665456324972,0.1177789936099899
UKR,Neurological disorders,944.6693266666666,786120.1731154807,0.2091684900785346,-1.5645673719699784,L,0.0263689861798188,1320.52,13619.72,1140.1403976,32.0196,359398.68044400006,1.3067507525185311,0.654830096971447,15902.135507178204,0.2677390549686009,-0.4111190423477763,-0.0235463516774898,-1.1193342299899844
URY,Neurological disorders,82.51533333333333,56950.74946610193,0.1519219584627276,-1.8843225000498949,UM,-0.3238726658817929,296.0,10230.92,615.0790922,41.8794,6442.1798528,-0.4592438262531174,0.9210396807169186,25109.14942301282,0.4971128503512155,1.2160661933420849,0.4715530813048982,-0.5408887977947744
USA,Neurological disorders,162409.018028,6535264.279761864,4.325659936310358,1.464567026957167,H,2.8302856098528664,196098.56,8732175.16,3937.0878280000006,28.6468,934111.267824,1.531247288427929,1.1413510603683428,63579.52211583438,1.1916745374493285,1.1408386019700445,0.86763262769081,2.296449380564211
UZB,Neurological disorders,178.0,352395.5860844464,0.0879214679843328,-2.431197540810389,L,-0.6105929717749546,93.32,757.28,548.7124468000001,25.948799999999995,145820.8233,0.7352887163765999,0.845307643961741,6771.372711363738,-0.2682921471998427,-1.5342483300634064,1.4465181185625238,0.3795572183990635
VEN,Neurological disorders,324.23344545454546,355525.4205984391,0.1587422533656549,-1.8404104468807536,UM,-0.341527656895934,225.92,8078.48,205.77687919999997,17.6204,27298.575182399996,-0.9929102806348242,0.3817357826118681,,0.0571907546713842,-0.8264250839719341,-0.2825214396990471,-0.9588895115708752
VNM,Neurological disorders,115.0972375,1084442.7276274296,0.0184741160656412,-3.9908435067446826,L,-0.4934521846142816,927.6,19423.76,525.8847767999999,7.8774,187418.696472,-0.514446394638925,0.0030755988359821,8760.437449736877,-0.1976965406295996,-1.6107193526977948,0.3268317085869689,-1.174223212607048
ZAF,Neurological disorders,1696.6481684210528,607386.974782839,0.4862187546700796,-0.7210760771992218,UM,0.0291253425765472,4149.12,125429.28,404.9987222,7.338399999999999,123314.596444,0.1460837543893123,-0.0382327848486599,13658.44123280344,-0.2863745306371325,0.7082799515808104,-2.2553022572750243,-0.1271103134507558
ZMB,Neurological disorders,486.0498,177795.21533057335,0.4758456327255431,-0.7426407633466141,L,-0.5940702205720861,246.32,6149.96,41.90146,1.4438000000000002,26718.732488,-1.2878847399390634,-0.9814408789813224,3255.1775640080373,-1.212043940296777,-0.3951098648450484,-0.937576074106514,0.4006683655594721
ZWE,Neurological disorders,496.49612,132509.89103935647,0.6521882204415912,-0.4274067441777258,L,-0.5072401214689258,244.4,5941.76,95.1253,1.26488,25704.12307,-0.9015173122490596,-1.0938914790117371,4759.5101951403985,-1.2489518188194657,-1.1296668830769985,-0.6862179004385326,-0.6844445984855564
AFG,Cardiovascular diseases,1200.0,1357618.7498675203,0.0983495657569809,-2.31912547647735,L,-0.5977808384269677,64.9,1727.86,,2.4104,13906.3606524,-1.2536259804415315,-1.562053160771015,2426.9467970680007,-1.6626173029328206,-1.168834967840953,0.2163864504601283,-0.2073326726603103
AND,Cardiovascular diseases,0.1734,2618.6060399743596,5.009993381937321e-05,-9.719501817598871,H,1.5688212044735264,,,,36.7296,213.062736,0.7033133754786799,0.4115696152729983,61549.34101972721,0.8552926647391863,1.1709918100819778,1.0656724008837637,0.6371132137560546
ARE,Cardiovascular diseases,158.750725,150549.90546923495,0.0458673634156719,-3.0817834553366863,H,0.1920029761475444,1116.96,24179.72,2305.6505460000003,21.4316,11601.6235952,1.5859591123627317,0.739741774545433,75883.36711327448,0.799806995013803,-1.9344777676315972,-0.4500935554777018,0.6962244258052003
ARG,Cardiovascular diseases,8716.326904347825,1912668.2424502168,0.5070641318982788,-0.6790980693176917,UM,-0.1971266896177451,2264.52,74790.52,1070.2597744000002,44.25206,181393.79928400004,-0.1479497937403469,0.7764603378206705,25990.3505237228,0.6905695827419523,0.8295144996597187,0.3344486229405448,-0.4775553563135469
ARM,Cardiovascular diseases,17.03805,268234.41124453483,0.0049227518881843,-5.311858254329438,L,-0.5581657805862664,110.32,1882.72,1175.627104,28.470400000000005,13243.130306,-1.429464003479396,0.055858533544136,11854.35125599687,0.1490888951540521,-0.4892997829678927,0.2582794794047928,-1.2924456367053392
AUS,Cardiovascular diseases,50998.958008,806028.8955254159,7.040114452810823,1.9516258479697808,H,1.686037901709881,22961.92,947877.52,4359.00251,33.058800000000005,85850.1701944,1.456383302363544,1.3180591461304236,54212.04883866928,1.2635086634330837,1.1629095068767166,0.669592854497853,2.2668937745396383
AUT,Cardiovascular diseases,5176.353226086956,512749.9267944842,1.123278186529559,0.116260264855486,H,2.655772449106955,5286.92,240017.96,4695.050182000001,48.396800000000006,63505.0815056,1.6309661067007597,0.8590771051899555,60268.85667814417,1.1438676880877248,1.1294922917011208,0.9514186855801358,1.3042254640249829
BEL,Cardiovascular diseases,6536.17745909091,511672.1863355483,1.4213500621373,0.3516142034623049,H,2.2618360855426443,7814.2,391540.56,4406.680888,31.26,65894.4112724,1.0201304133783438,1.1229917787307244,56940.3921111463,1.2300686392682318,1.2583428562619086,1.24847834536957,-0.013110118784546
