node_id,ISO3,visual_factor,status,disease_count,avg_residual,cis_avg
IDN-Governance,IDN,Governance,Under,2,-1.813100001068638,0.034771446857078905
IDN-Health_Infrastructure,IDN,Health_Infrastructure,Under,2,-1.5646951527362472,0.04100437778743456
IDN-Multiple_Factors,IDN,Multiple_Factors,Under,3,-1.231379213641141,0.01608746101282422
IDN-Research_Capacity,IDN,Research_Capacity,Under,5,-1.8599378197043848,0.04981036937018457
IND-As_Expected,IND,As_Expected,Borderline,7,-0.31198271711728875,-0.0495008674101925
IND-Health_Infrastructure,IND,Health_Infrastructure,As_Expected,4,-0.49810133219419606,-0.005667178661141281
IND-Research_Capacity,IND,Research_Capacity,Under,4,-1.3178768968861878,-0.03128300751861402
IRL-As_Expected,IRL,As_Expected,Borderline,10,0.3630614526778982,-0.14336992307490737
IRL-Multiple_Factors,IRL,Multiple_Factors,Under,3,-1.1304241237175339,-0.08501499244083516
IRL-Research_Capacity,IRL,Research_Capacity,As_Expected,3,0.4960448277046514,-0.15524942988995488
IRN-As_Expected,IRN,As_Expected,Borderline,11,0.4335594683790301,-0.07334833134350499
IRN-Health_Infrastructure,IRN,Health_Infrastructure,Under,2,-0.3942947232946796,-0.0805690698086335
IRN-Multiple_Factors,IRN,Multiple_Factors,Under,2,-0.9915809350421465,-0.04264597310563528
IRQ-As_Expected,IRQ,As_Expected,Borderline,8,0.5070211289215489,-0.007721401200479315
IRQ-Health_Infrastructure,IRQ,Health_Infrastructure,As_Expected,2,0.8803296761453713,-0.03379299876836252
ISL-As_Expected,ISL,As_Expected,Borderline,5,-0.26661257399624894,-0.0850781375509387
ISL-Health_Infrastructure,ISL,Health_Infrastructure,Under,3,-2.4261302553449147,-0.030738337904822027
ISL-Research_Capacity,ISL,Research_Capacity,Over_Performing,5,0.6675298654088231,-0.08630587567011541
ISR-As_Expected,ISR,As_Expected,Borderline,5,0.2827566904429897,-0.206413777944885
ISR-Governance,ISR,Governance,As_Expected,2,1.3444414847834552,0.10397884685023448
ISR-Health_Infrastructure,ISR,Health_Infrastructure,Over_Performing,2,0.44795136876995734,0.08246670921053773
ISR-Multiple_Factors,ISR,Multiple_Factors,Under,2,-0.8733007767565959,-0.14736069483521289
ISR-Research_Capacity,ISR,Research_Capacity,Under,5,-1.416712937701313,-0.14139694182913162
ITA-As_Expected,ITA,As_Expected,Borderline,8,0.16287096166095033,-0.13091210204442572
ITA-Multiple_Factors,ITA,Multiple_Factors,Under,2,-0.7963499256229676,-0.10853134188724145
ITA-Research_Capacity,ITA,Research_Capacity,As_Expected,5,-0.21874578131695244,-0.18275196555472972
JAM-Multiple_Factors,JAM,Multiple_Factors,Over_Performing,2,-0.6712854279594347,-0.08338211480957214
JAM-Research_Capacity,JAM,Research_Capacity,Under,3,-0.2607689626496062,0.020068994600822277
JOR-As_Expected,JOR,As_Expected,Borderline,6,0.6183394521978571,-0.020539699598375916
JOR-Health_Infrastructure,JOR,Health_Infrastructure,Under,3,-0.839980313457772,-0.06079862664132928
JOR-Multiple_Factors,JOR,Multiple_Factors,Over_Performing,2,1.9644833924657066,-0.19591250059772639
JOR-Research_Capacity,JOR,Research_Capacity,As_Expected,2,0.09505570058340534,-0.05602332002782419
JPN-As_Expected,JPN,As_Expected,Borderline,7,0.022531857268029847,-0.16135452793443586
JPN-Research_Capacity,JPN,Research_Capacity,As_Expected,6,-0.5510589992060438,-0.10601264211209975
KAZ-As_Expected,KAZ,As_Expected,Borderline,4,-0.03404231952383291,0.0028592931984017314
KAZ-Health_Infrastructure,KAZ,Health_Infrastructure,Under,2,-0.6723843985063045,0.04468599540411487
KAZ-Multiple_Factors,KAZ,Multiple_Factors,Over_Performing,2,2.443591967118211,-0.18338168472456046
KAZ-Research_Capacity,KAZ,Research_Capacity,Under,3,-2.000468842342282,0.056915292847747566
KEN-As_Expected,KEN,As_Expected,Borderline,8,0.5461670662891518,-0.1751534685540065
KEN-Health_Infrastructure,KEN,Health_Infrastructure,Over_Performing,2,0.173248518102187,0.15888629143291502
KEN-Multiple_Factors,KEN,Multiple_Factors,Over_Performing,2,0.522462983007087,-0.06336241596697256
KEN-Research_Capacity,KEN,Research_Capacity,Over_Performing,3,2.6989015503376472,-0.23129685646967169
KHM-As_Expected,KHM,As_Expected,Borderline,7,0.7563929858618612,-0.060594556718308025
KHM-Health_Infrastructure,KHM,Health_Infrastructure,Over_Performing,2,1.3876106155576275,-0.1806740829641371
KHM-Research_Capacity,KHM,Research_Capacity,Over_Performing,3,1.5250254148967448,-0.049601537033003525
KOR-As_Expected,KOR,As_Expected,Borderline,7,-0.18761222126519547,-0.1865113468125304
KOR-Governance,KOR,Governance,Under,2,-1.913790148248624,-0.05700254637277913
KOR-Research_Capacity,KOR,Research_Capacity,As_Expected,5,-0.1481048084082825,-0.1359127023536368
KWT-As_Expected,KWT,As_Expected,Borderline,6,0.2840595198008266,-0.027488257328089762
KWT-Research_Capacity,KWT,Research_Capacity,Under,2,-1.3160614149160121,0.05525445165857537
LAO-Governance,LAO,Governance,Under,3,-1.154818445132297,-0.03338587224153408
LAO-Health_Infrastructure,LAO,Health_Infrastructure,Over_Performing,2,0.9694670499010495,-0.09368295831527568
LBN-As_Expected,LBN,As_Expected,Borderline,5,-0.003815578731932878,-0.05735080526782255
LBN-Health_Infrastructure,LBN,Health_Infrastructure,Under,2,-2.0569519681069024,0.031128810507894976
LBN-Multiple_Factors,LBN,Multiple_Factors,Over_Performing,2,0.15070294932221395,-0.12836978907017682
LBN-Research_Capacity,LBN,Research_Capacity,Under,5,-0.9074830560688202,-0.017853602912722935
LBR-Health_Infrastructure,LBR,Health_Infrastructure,As_Expected,2,-1.4418760628350449,-0.049068111881215445
LBR-Multiple_Factors,LBR,Multiple_Factors,Under,3,-0.409084976646588,0.1103669749696251
LKA-As_Expected,LKA,As_Expected,Borderline,9,-0.15912122017193348,-0.1051276545449053
LKA-Health_Infrastructure,LKA,Health_Infrastructure,As_Expected,2,-1.614205147526902,0.026881601447315856
